light,temperature,occupancy
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,22,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,20,0
OFF,18,0
OFF,18,0
ON,18,0
ON,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,20,0
ON,18,0
OFF,18,0
OFF,18,0
OFF,18,0
ON,18,0
ON,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,20,0
OFF,18,0
ON,18,1
OFF,18,0
OFF,18,0
OFF,22,1
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
ON,18,0
OFF,18,0
OFF,18,0
ON,18,0
OFF,20,0
OFF,18,0
OFF,18,0
ON,18,0
OFF,18,0
OFF,18,0
OFF,18,0
ON,18,0
OFF,18,0
ON,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,20,0
OFF,18,0
OFF,18,1
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
ON,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
ON,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
ON,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,1
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,20,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,1
OFF,18,0
OFF,18,0
OFF,18,1
OFF,18,0
ON,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
ON,20,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
ON,18,0
OFF,22,1
ON,18,0
OFF,18,0
OFF,18,0
OFF,18,1
OFF,22,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,22,0
OFF,18,1
OFF,18,0
ON,18,0
ON,18,1
OFF,18,0
ON,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,1
ON,18,0
ON,18,0
OFF,18,0
ON,22,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,22,0
OFF,18,0
OFF,18,1
OFF,18,0
ON,18,0
OFF,18,0
OFF,18,0
OFF,18,0
ON,18,0
OFF,22,0
OFF,18,0
OFF,20,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,20,0
OFF,18,0
OFF,18,1
OFF,18,1
OFF,18,0
ON,18,0
OFF,18,0
OFF,22,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,1
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,18,0
ON,18,0
OFF,18,0
OFF,18,0
OFF,18,1
OFF,18,0
OFF,18,0
OFF,18,0
OFF,22,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,22,0
OFF,18,0
ON,18,0
OFF,18,0
OFF,18,0
OFF,18,0
OFF,22,1
