attr_1,attr_2,attr_3,attr_4
2,4,1,0
2,4,1,0
2,4,1,0
2,4,1,0
2,4,4,0
2,4,1,0
2,4,1,0
2,4,1,0
2,4,1,0
2,4,1,0
1,4,1,0
2,4,1,0
2,4,1,0
2,4,1,0
2,4,1,0
2,4,5,0
2,4,1,0
2,4,1,0
2,4,1,0
2,4,1,0
1,4,1,0
2,4,1,0
2,5,2,0
2,4,1,0
2,4,1,0
1,5,1,0
2,4,1,0
2,4,1,4
2,4,1,5
2,4,1,0
3,4,3,0
3,4,1,0
3,4,1,0
3,4,1,0
3,4,1,0
3,4,1,0
3,5,1,0
3,4,1,0
3,4,1,3
3,4,1,0
3,5,1,0
3,2,1,0
3,4,1,0
3,4,5,0
3,4,1,0
3,4,1,0
3,4,1,0
3,4,1,0
3,4,1,0
1,4,1,0
2,5,1,3
3,5,1,0
3,5,1,0
3,3,1,0
3,5,1,0
3,5,1,0
3,5,1,0
2,5,1,0
3,5,1,0
3,5,1,0
3,5,1,0
3,5,1,0
3,5,1,0
3,5,1,0
3,5,1,0
3,5,1,0
3,5,1,0
3,5,1,0
2,5,1,0
3,5,1,0
3,1,4,0
3,1,4,0
3,1,4,0
3,1,4,0
3,1,4,0
1,1,4,0
3,1,4,0
3,1,4,0
3,1,3,0
3,1,4,0
3,2,4,6
3,2,4,6
3,2,4,6
3,2,4,6
3,2,4,6
3,2,4,6
3,2,4,6
3,2,4,6
3,2,4,6
3,2,4,6
3,2,2,1
3,3,4,6
3,2,4,6
3,2,4,6
3,2,4,6
3,4,4,6
1,4,4,6
3,2,4,6
3,2,4,6
3,2,4,6
1,2,4,6
1,2,4,6
1,3,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,4,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,5,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,5,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,2,4,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,1,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,4,1,6
1,2,1,6
1,2,1,6
1,4,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,1,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,3
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,3
1,2,1,6
1,2,1,6
1,3,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,6
1,2,1,3
